model,dataset,category,name,slope,p_value,r_value
gemma,wmt19_lten,metric,metricx-metricx-24-hybrid-large-v2p6,0.022253745493090112,0.17807988008396924,0.03175585799372472
eurollm,wmt14_deen,ue,MSP,0.3592346556807435,7.826013860484121e-193,0.6285677146854682
eurollm,wmt14_deen,ue,PPL,-0.08262164049991497,7.334437259537967e-10,-0.14661351291871466
eurollm,wmt14_deen,ue,MTE,-0.11668365197980941,6.045714851303486e-18,-0.2044171192315585
eurollm,wmt14_deen,ue,MCSE,0.34032784134839034,4.36879082797692e-177,0.6078396275104655
eurollm,wmt14_deen,ue,MCNSE,-0.024700876127377,0.10870046850977232,-0.038379656219773045
eurollm,wmt14_deen,ue,LSRL,0.01065325070806492,0.5526954007365532,0.014210330970689425
eurollm,wmt14_deen,metric,Comet-wmt22-comet-da,-0.016229366639199907,0.412521687314106,-0.01961228591272497
eurollm,wmt14_deen,metric,XComet-XCOMET-XXL,-0.0345224345304806,0.1566947274232638,-0.03388934559999156
eurollm,wmt14_deen,metric,metricx-metricx-24-hybrid-large-v2p6,0.0015318381440843922,0.9294905530178024,0.0021179381056716023
eurollm,wmt14_fren,ue,MSP,0.36847605187145027,2.7424314963545774e-200,0.6385572769416249
eurollm,wmt14_fren,ue,PPL,-0.1211231874678338,2.1662025232775782e-19,-0.2133461523097741
eurollm,wmt14_fren,ue,MTE,-0.14103948725868928,3.5910806261472514e-33,-0.2817683809008436
eurollm,wmt14_fren,ue,MCSE,0.16895834913635807,2.852864091985018e-168,0.5962080438940981
eurollm,wmt14_fren,ue,MCNSE,-0.04215768603831157,0.0020787861029845332,-0.0736961546139705
eurollm,wmt14_fren,ue,LSRL,0.0002846787436643112,0.9876194961375382,0.00037194493506343605
eurollm,wmt14_fren,metric,Comet-wmt22-comet-da,-0.028884065078138885,0.042020063341228625,-0.04870921596531682
eurollm,wmt14_fren,metric,XComet-XCOMET-XXL,-0.034008715331565346,0.1522433638928167,-0.03430620442647351
eurollm,wmt14_fren,metric,metricx-metricx-24-hybrid-large-v2p6,0.00668138151617856,0.6658350412646761,0.01035155434725579
eurollm,wmt14_csen,ue,MSP,0.2988590720034108,1.6396098120542012e-264,0.7021092809636054
eurollm,wmt14_csen,ue,PPL,-0.05595648577078547,1.1075500031077956e-10,-0.15213102130083797
eurollm,wmt14_csen,ue,MTE,-0.0907711714933315,4.1814441965252215e-21,-0.22085431455274515
eurollm,wmt14_csen,ue,MCSE,0.42426752425842756,5.121365641982665e-226,0.6631989000678742
eurollm,wmt14_csen,ue,MCNSE,-0.05717080557644271,7.861438037257136e-05,-0.09345122916152944
eurollm,wmt14_csen,ue,LSRL,-0.014175838928585533,0.4262848257885874,-0.01886827856849819
eurollm,wmt14_csen,metric,Comet-wmt22-comet-da,-0.046646781305052974,0.0009229449758410185,-0.07846013785961158
eurollm,wmt14_csen,metric,XComet-XCOMET-XXL,-0.01060948976955077,0.5719716168045477,-0.013404158367001824
eurollm,wmt14_csen,metric,metricx-metricx-24-hybrid-large-v2p6,0.026578104710094787,0.03960166101786264,0.04878166078186507
eurollm,wmt14_ruen,ue,MSP,0.2660418227742247,3.9986801811142376e-222,0.671629881899054
eurollm,wmt14_ruen,ue,PPL,-0.13620728333407744,6.805325114429383e-52,-0.3567620831714316
eurollm,wmt14_ruen,ue,MTE,-0.1948414017617626,1.872648373661631e-80,-0.43875007937230903
eurollm,wmt14_ruen,ue,MCSE,0.22671845503211444,1.9420405395872755e-172,0.6094857619182062
eurollm,wmt14_ruen,ue,MCNSE,-0.17095113697176387,9.092493186473449e-45,-0.33199715557167875
eurollm,wmt14_ruen,ue,LSRL,-0.16367414586813203,2.468104977299838e-16,-0.19756738604972324
eurollm,wmt14_ruen,metric,Comet-wmt22-comet-da,-0.10135767769787264,3.104701084981484e-11,-0.16062511053770256
eurollm,wmt14_ruen,metric,XComet-XCOMET-XXL,-0.030569617860628166,0.2504741291241753,-0.027969724577906203
eurollm,wmt14_ruen,metric,metricx-metricx-24-hybrid-large-v2p6,-0.05766990886823249,0.0010340508370602196,-0.07974519406960884
eurollm,wmt19_ruen,ue,MSP,0.4514156963369298,0.0,0.7600022734097691
eurollm,wmt19_ruen,ue,PPL,-0.08341867462511299,2.9180112719091066e-16,-0.19309408660014193
eurollm,wmt19_ruen,ue,MTE,-0.13741470821900012,4.667441484653249e-40,-0.30810456984502965
eurollm,wmt19_ruen,ue,MCSE,0.3628176669640299,5.2436471975828646e-253,0.6936056414991756
eurollm,wmt19_ruen,ue,MCNSE,-0.11530789598226103,5.245106234637219e-16,-0.19144894960980735
eurollm,wmt19_ruen,ue,LSRL,-0.09192355369922481,4.996218095143838e-07,-0.11940160380464326
eurollm,wmt19_ruen,metric,Comet-wmt22-comet-da,-0.03429565773044742,0.002816475404183545,-0.07112186863866361
eurollm,wmt19_ruen,metric,XComet-XCOMET-XXL,0.13522572154313128,1.8828376376400386e-11,0.15906109686280576
eurollm,wmt19_ruen,metric,metricx-metricx-24-hybrid-large-v2p6,0.04857690235890261,0.0001301749493053088,0.09102527890966647
eurollm,wmt19_fien,ue,MSP,0.4616050977649561,1.5503869912815802e-258,0.6948067615578556
eurollm,wmt19_fien,ue,PPL,-0.03719550512291138,0.0006674702796574014,-0.0803051508273611
eurollm,wmt19_fien,ue,MTE,-0.07460513738005432,1.4914043782809798e-12,-0.1660916706551155
eurollm,wmt19_fien,ue,MCSE,0.31164999842356306,2.2474491070993497e-211,0.6450427319639244
eurollm,wmt19_fien,ue,MCNSE,-0.037238263041709636,0.0033925323852024396,-0.06917379636707074
eurollm,wmt19_fien,ue,LSRL,0.048183676132635585,0.00948548931815781,0.061263666761297415
eurollm,wmt19_fien,metric,Comet-wmt22-comet-da,0.006602632916257238,0.6480736091462457,0.010789596253420635
eurollm,wmt19_fien,metric,XComet-XCOMET-XXL,0.16997387932919578,1.530036161385043e-14,0.18017897751588177
eurollm,wmt19_fien,metric,metricx-metricx-24-hybrid-large-v2p6,0.10381354154290452,1.0766333400944115e-10,0.1517256326220569
eurollm,wmt19_deen,ue,MSP,0.20314763524670842,3.779512384193843e-211,0.6450522174092548
eurollm,wmt19_deen,ue,PPL,-0.04339407481994119,0.0015860357183183381,-0.07460141075964166
eurollm,wmt19_deen,ue,MTE,-0.10604954980281174,3.5365386454512777e-15,-0.184552200388812
eurollm,wmt19_deen,ue,MCSE,0.26546995280306973,2.258895885804948e-177,0.6025520371814637
eurollm,wmt19_deen,ue,MCNSE,-0.07100884098185727,2.7035326752849913e-08,-0.130932575982083
eurollm,wmt19_deen,ue,LSRL,-0.015467818716458909,0.43317024474452714,-0.018536718452289783
eurollm,wmt19_deen,metric,Comet-wmt22-comet-da,-0.1564496890490728,1.873091147463815e-24,-0.2379120179545196
eurollm,wmt19_deen,metric,XComet-XCOMET-XXL,-0.09551916749497356,1.366746156006272e-07,-0.1241581329245524
eurollm,wmt19_deen,metric,metricx-metricx-24-hybrid-large-v2p6,-0.05011197456957875,0.00015322000504914096,-0.08936422064050677
eurollm,wmt19_lten,ue,MSP,0.3181265321481722,1.2363735446665543e-254,0.692281007819383
eurollm,wmt19_lten,ue,PPL,-0.057459105357011375,1.6952745269530408e-08,-0.1330796436749482
eurollm,wmt19_lten,ue,MTE,-0.11779351801401505,6.945369192319481e-22,-0.2249274651936153
eurollm,wmt19_lten,ue,MCSE,0.28189028738077626,5.55757933055324e-222,0.6583375446051178
eurollm,wmt19_lten,ue,MCNSE,-0.06954062175590833,5.2766491541665975e-08,-0.12842880181817967
eurollm,wmt19_lten,ue,LSRL,0.022671121148671355,0.23163696575473666,0.02834186270638364
eurollm,wmt19_lten,metric,Comet-wmt22-comet-da,-0.026959935364630688,0.053329627830914064,-0.04576810257952231
eurollm,wmt19_lten,metric,XComet-XCOMET-XXL,0.15602568054834634,5.616706160409956e-12,0.16218118944033066
eurollm,wmt19_lten,metric,metricx-metricx-24-hybrid-large-v2p6,0.02605992023381341,0.07761377984572057,0.04180330508189744
