model,dataset,metric,method,correction,prr_score
Llama 3.1 8B,wmt19_fien,MetricX XXL,PPL,DEG3,0.48459676248403066
Llama 3.1 8B,wmt19_lten,MetricX XXL,PPL,DEG3,0.45407549175004464
Llama 3.1 8B,wmt19_ruen,MetricX XXL,PPL,DEG3,0.3884791268237404
Llama 3.1 8B,wmt14_csen,MetricX XXL,MTE,RAW,0.4749132755064228
Llama 3.1 8B,wmt14_deen,MetricX XXL,MTE,RAW,0.47661987173850395
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MTE,RAW,0.45893218590588136
Llama 3.1 8B,wmt14_fren,MetricX XXL,MTE,RAW,0.3926666926172321
Llama 3.1 8B,wmt19_deen,MetricX XXL,MTE,RAW,0.4274812687997017
Llama 3.1 8B,wmt19_fien,MetricX XXL,MTE,RAW,0.5198475240993802
Llama 3.1 8B,wmt19_lten,MetricX XXL,MTE,RAW,0.48746150760977847
Llama 3.1 8B,wmt19_ruen,MetricX XXL,MTE,RAW,0.3558903496322687
Llama 3.1 8B,wmt14_csen,MetricX XXL,MTE,DEG1,0.5368657984988543
Llama 3.1 8B,wmt14_deen,MetricX XXL,MTE,DEG1,0.5143989232018757
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MTE,DEG1,0.5379301701008689
Llama 3.1 8B,wmt14_fren,MetricX XXL,MTE,DEG1,0.434769278552827
Llama 3.1 8B,wmt19_deen,MetricX XXL,MTE,DEG1,0.4708649450634988
Llama 3.1 8B,wmt19_fien,MetricX XXL,MTE,DEG1,0.5088181747425637
Llama 3.1 8B,wmt19_lten,MetricX XXL,MTE,DEG1,0.48933416997186974
Llama 3.1 8B,wmt19_ruen,MetricX XXL,MTE,DEG1,0.4543923396348868
Llama 3.1 8B,wmt14_csen,MetricX XXL,MTE,DEG2,0.45027363583772634
Llama 3.1 8B,wmt14_deen,MetricX XXL,MTE,DEG2,0.4976142713925782
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MTE,DEG2,0.46571271070258735
Llama 3.1 8B,wmt14_fren,MetricX XXL,MTE,DEG2,0.3632129859666179
Llama 3.1 8B,wmt19_deen,MetricX XXL,MTE,DEG2,0.45947606016335896
Llama 3.1 8B,wmt19_fien,MetricX XXL,MTE,DEG2,0.4883984517222081
Llama 3.1 8B,wmt19_lten,MetricX XXL,MTE,DEG2,0.4746321584978361
Llama 3.1 8B,wmt19_ruen,MetricX XXL,MTE,DEG2,0.403276134016102
Llama 3.1 8B,wmt14_csen,MetricX XXL,MTE,DEG3,0.5291278885320219
Llama 3.1 8B,wmt14_deen,MetricX XXL,MTE,DEG3,0.5191091692379322
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MTE,DEG3,0.5380257583991581
Llama 3.1 8B,wmt14_fren,MetricX XXL,MTE,DEG3,0.4233274602701006
Llama 3.1 8B,wmt19_deen,MetricX XXL,MTE,DEG3,0.47048883178349976
Llama 3.1 8B,wmt19_fien,MetricX XXL,MTE,DEG3,0.4913634027019346
Llama 3.1 8B,wmt19_lten,MetricX XXL,MTE,DEG3,0.5007655246571406
Llama 3.1 8B,wmt19_ruen,MetricX XXL,MTE,DEG3,0.4527355684971195
Llama 3.1 8B,wmt14_csen,MetricX XXL,MCSE,RAW,0.15690822671599486
Llama 3.1 8B,wmt14_deen,MetricX XXL,MCSE,RAW,0.14009450492375244
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MCSE,RAW,0.2024753363408694
Llama 3.1 8B,wmt14_fren,MetricX XXL,MCSE,RAW,0.163122850981538
Llama 3.1 8B,wmt19_deen,MetricX XXL,MCSE,RAW,0.14279602628312213
Llama 3.1 8B,wmt19_fien,MetricX XXL,MCSE,RAW,-0.0016065487681357039
Llama 3.1 8B,wmt19_lten,MetricX XXL,MCSE,RAW,0.06546519535236757
Llama 3.1 8B,wmt19_ruen,MetricX XXL,MCSE,RAW,0.21288636066474342
Llama 3.1 8B,wmt14_csen,MetricX XXL,MCSE,DEG1,0.2924309635788915
Llama 3.1 8B,wmt14_deen,MetricX XXL,MCSE,DEG1,0.2912301540660173
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MCSE,DEG1,0.3040694278901123
Llama 3.1 8B,wmt14_fren,MetricX XXL,MCSE,DEG1,0.24622383984671084
Llama 3.1 8B,wmt19_deen,MetricX XXL,MCSE,DEG1,0.3179271354194409
Llama 3.1 8B,wmt19_fien,MetricX XXL,MCSE,DEG1,0.2949550677489686
Llama 3.1 8B,wmt19_lten,MetricX XXL,MCSE,DEG1,0.2881613515677722
Llama 3.1 8B,wmt19_ruen,MetricX XXL,MCSE,DEG1,0.2746162551092833
Llama 3.1 8B,wmt14_csen,MetricX XXL,MCSE,DEG2,0.32632040950838614
Llama 3.1 8B,wmt14_deen,MetricX XXL,MCSE,DEG2,0.3068042002019032
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MCSE,DEG2,0.32793842627803726
Llama 3.1 8B,wmt14_fren,MetricX XXL,MCSE,DEG2,0.24662338838200945
Llama 3.1 8B,wmt19_deen,MetricX XXL,MCSE,DEG2,0.3131081175340337
Llama 3.1 8B,wmt19_fien,MetricX XXL,MCSE,DEG2,0.29872524147865914
Llama 3.1 8B,wmt19_lten,MetricX XXL,MCSE,DEG2,0.28236281755136566
Llama 3.1 8B,wmt19_ruen,MetricX XXL,MCSE,DEG2,0.27809663979395594
Llama 3.1 8B,wmt14_csen,MetricX XXL,MCSE,DEG3,0.360216210088036
Llama 3.1 8B,wmt14_deen,MetricX XXL,MCSE,DEG3,0.3026956350009181
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MCSE,DEG3,0.3601755833909858
Llama 3.1 8B,wmt14_fren,MetricX XXL,MCSE,DEG3,0.24675016118123008
Llama 3.1 8B,wmt19_deen,MetricX XXL,MCSE,DEG3,0.3192677827878457
Llama 3.1 8B,wmt19_fien,MetricX XXL,MCSE,DEG3,0.2811037219728291
Llama 3.1 8B,wmt19_lten,MetricX XXL,MCSE,DEG3,0.28880798163363763
Llama 3.1 8B,wmt19_ruen,MetricX XXL,MCSE,DEG3,0.30588861309121623
Llama 3.1 8B,wmt14_csen,MetricX XXL,MCNSE,RAW,0.4227659830612571
Llama 3.1 8B,wmt14_deen,MetricX XXL,MCNSE,RAW,0.3779153531416084
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MCNSE,RAW,0.4044478748838261
Llama 3.1 8B,wmt14_fren,MetricX XXL,MCNSE,RAW,0.3239985382898059
Llama 3.1 8B,wmt19_deen,MetricX XXL,MCNSE,RAW,0.3831082127621986
Llama 3.1 8B,wmt19_fien,MetricX XXL,MCNSE,RAW,0.39293692534839414
Llama 3.1 8B,wmt19_lten,MetricX XXL,MCNSE,RAW,0.43792700809119445
Llama 3.1 8B,wmt19_ruen,MetricX XXL,MCNSE,RAW,0.3236881315416644
Llama 3.1 8B,wmt14_csen,MetricX XXL,MCNSE,DEG1,0.42483218356295216
Llama 3.1 8B,wmt14_deen,MetricX XXL,MCNSE,DEG1,0.3796963924127393
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MCNSE,DEG1,0.4323645692338883
Llama 3.1 8B,wmt14_fren,MetricX XXL,MCNSE,DEG1,0.3421394690891758
Llama 3.1 8B,wmt19_deen,MetricX XXL,MCNSE,DEG1,0.38503571066275705
Llama 3.1 8B,wmt19_fien,MetricX XXL,MCNSE,DEG1,0.3929999843800981
Llama 3.1 8B,wmt19_lten,MetricX XXL,MCNSE,DEG1,0.4378060184057857
Llama 3.1 8B,wmt19_ruen,MetricX XXL,MCNSE,DEG1,0.3606491751660464
Llama 3.1 8B,wmt14_csen,MetricX XXL,MCNSE,DEG2,0.377837028094043
Llama 3.1 8B,wmt14_deen,MetricX XXL,MCNSE,DEG2,0.38848532652904344
