model,dataset,metric,method,correction,prr_score
Gemma 2 9B,wmt19_deen,MetricX XXL,MCSE,DEG2,0.39585979687813877
Gemma 2 9B,wmt19_fien,MetricX XXL,MCSE,DEG2,0.2540302415633814
Gemma 2 9B,wmt19_lten,MetricX XXL,MCSE,DEG2,0.23713625162959623
Gemma 2 9B,wmt19_ruen,MetricX XXL,MCSE,DEG2,0.3494977330986792
Gemma 2 9B,wmt14_csen,MetricX XXL,MCSE,DEG3,0.30219723751524885
Gemma 2 9B,wmt14_deen,MetricX XXL,MCSE,DEG3,0.35915164785136483
Gemma 2 9B,wmt14_ruen,MetricX XXL,MCSE,DEG3,0.33240197322946335
Gemma 2 9B,wmt14_fren,MetricX XXL,MCSE,DEG3,0.2841245090490246
Gemma 2 9B,wmt19_deen,MetricX XXL,MCSE,DEG3,0.39511033886902713
Gemma 2 9B,wmt19_fien,MetricX XXL,MCSE,DEG3,0.24416105555773493
Gemma 2 9B,wmt19_lten,MetricX XXL,MCSE,DEG3,0.2591943422398701
Gemma 2 9B,wmt19_ruen,MetricX XXL,MCSE,DEG3,0.3511684587079783
Gemma 2 9B,wmt14_csen,MetricX XXL,MCNSE,RAW,0.38286385371253284
Gemma 2 9B,wmt14_deen,MetricX XXL,MCNSE,RAW,0.43089036627225524
Gemma 2 9B,wmt14_ruen,MetricX XXL,MCNSE,RAW,0.402494513128116
Gemma 2 9B,wmt14_fren,MetricX XXL,MCNSE,RAW,0.3301084057838703
Gemma 2 9B,wmt19_deen,MetricX XXL,MCNSE,RAW,0.429129299681221
Gemma 2 9B,wmt19_fien,MetricX XXL,MCNSE,RAW,0.36280167581839434
Gemma 2 9B,wmt19_lten,MetricX XXL,MCNSE,RAW,0.3191150499782459
Gemma 2 9B,wmt19_ruen,MetricX XXL,MCNSE,RAW,0.38112168888076786
Gemma 2 9B,wmt14_csen,MetricX XXL,MCNSE,DEG1,0.3832919278968765
Gemma 2 9B,wmt14_deen,MetricX XXL,MCNSE,DEG1,0.43034005526406904
Gemma 2 9B,wmt14_ruen,MetricX XXL,MCNSE,DEG1,0.41255875989100316
Gemma 2 9B,wmt14_fren,MetricX XXL,MCNSE,DEG1,0.33313650708094805
Gemma 2 9B,wmt19_deen,MetricX XXL,MCNSE,DEG1,0.43641309608783435
Gemma 2 9B,wmt19_fien,MetricX XXL,MCNSE,DEG1,0.36366098932118146
Gemma 2 9B,wmt19_lten,MetricX XXL,MCNSE,DEG1,0.31891306058891905
Gemma 2 9B,wmt19_ruen,MetricX XXL,MCNSE,DEG1,0.3971453412237721
Gemma 2 9B,wmt14_csen,MetricX XXL,MCNSE,DEG2,0.3805843360922591
Gemma 2 9B,wmt14_deen,MetricX XXL,MCNSE,DEG2,0.43015185985717624
Gemma 2 9B,wmt14_ruen,MetricX XXL,MCNSE,DEG2,0.3785374047159269
Gemma 2 9B,wmt14_fren,MetricX XXL,MCNSE,DEG2,0.3323848659574277
Gemma 2 9B,wmt19_deen,MetricX XXL,MCNSE,DEG2,0.4266968344437944
Gemma 2 9B,wmt19_fien,MetricX XXL,MCNSE,DEG2,0.35556502618533564
Gemma 2 9B,wmt19_lten,MetricX XXL,MCNSE,DEG2,0.2928503005197225
Gemma 2 9B,wmt19_ruen,MetricX XXL,MCNSE,DEG2,0.3841127234028043
Gemma 2 9B,wmt14_csen,MetricX XXL,MCNSE,DEG3,0.37935641021964356
Gemma 2 9B,wmt14_deen,MetricX XXL,MCNSE,DEG3,0.43050323284654024
Gemma 2 9B,wmt14_ruen,MetricX XXL,MCNSE,DEG3,0.3971238466400604
Gemma 2 9B,wmt14_fren,MetricX XXL,MCNSE,DEG3,0.33342274807012084
Gemma 2 9B,wmt19_deen,MetricX XXL,MCNSE,DEG3,0.43535046563081536
Gemma 2 9B,wmt19_fien,MetricX XXL,MCNSE,DEG3,0.3518720181853434
Gemma 2 9B,wmt19_lten,MetricX XXL,MCNSE,DEG3,0.32957441152460865
Gemma 2 9B,wmt19_ruen,MetricX XXL,MCNSE,DEG3,0.39749045472379807
Gemma 2 9B,wmt14_csen,MetricX XXL,LSRL,RAW,0.34627293301714945
Gemma 2 9B,wmt14_deen,MetricX XXL,LSRL,RAW,0.38299217962201315
Gemma 2 9B,wmt14_ruen,MetricX XXL,LSRL,RAW,0.3628012795189854
Gemma 2 9B,wmt14_fren,MetricX XXL,LSRL,RAW,0.26359125518091653
Gemma 2 9B,wmt19_deen,MetricX XXL,LSRL,RAW,0.36225217367285373
Gemma 2 9B,wmt19_fien,MetricX XXL,LSRL,RAW,0.3387766817466965
Gemma 2 9B,wmt19_lten,MetricX XXL,LSRL,RAW,0.3436729661315034
Gemma 2 9B,wmt19_ruen,MetricX XXL,LSRL,RAW,0.33533046778155207
Gemma 2 9B,wmt14_csen,MetricX XXL,LSRL,DEG1,0.34647158813466866
Gemma 2 9B,wmt14_deen,MetricX XXL,LSRL,DEG1,0.3847488173301997
Gemma 2 9B,wmt14_ruen,MetricX XXL,LSRL,DEG1,0.3664191890919645
Gemma 2 9B,wmt14_fren,MetricX XXL,LSRL,DEG1,0.26403013740208625
Gemma 2 9B,wmt19_deen,MetricX XXL,LSRL,DEG1,0.3583313796102604
Gemma 2 9B,wmt19_fien,MetricX XXL,LSRL,DEG1,0.3607088401717293
Gemma 2 9B,wmt19_lten,MetricX XXL,LSRL,DEG1,0.308912728857937
Gemma 2 9B,wmt19_ruen,MetricX XXL,LSRL,DEG1,0.34298703927814317
Gemma 2 9B,wmt14_csen,MetricX XXL,LSRL,DEG2,0.34496095089132706
Gemma 2 9B,wmt14_deen,MetricX XXL,LSRL,DEG2,0.38466567380830957
Gemma 2 9B,wmt14_ruen,MetricX XXL,LSRL,DEG2,0.3289243764110612
Gemma 2 9B,wmt14_fren,MetricX XXL,LSRL,DEG2,0.2644223713660917
Gemma 2 9B,wmt19_deen,MetricX XXL,LSRL,DEG2,0.35819386077266624
Gemma 2 9B,wmt19_fien,MetricX XXL,LSRL,DEG2,0.3612353444916262
Gemma 2 9B,wmt19_lten,MetricX XXL,LSRL,DEG2,0.3068480943142215
Gemma 2 9B,wmt19_ruen,MetricX XXL,LSRL,DEG2,0.3310127804200157
Gemma 2 9B,wmt14_csen,MetricX XXL,LSRL,DEG3,0.3557665408516967
Gemma 2 9B,wmt14_deen,MetricX XXL,LSRL,DEG3,0.38604919904724366
Gemma 2 9B,wmt14_ruen,MetricX XXL,LSRL,DEG3,0.35994763200644503
Gemma 2 9B,wmt14_fren,MetricX XXL,LSRL,DEG3,0.2638763667737419
Gemma 2 9B,wmt19_deen,MetricX XXL,LSRL,DEG3,0.36044154134580086
Gemma 2 9B,wmt19_fien,MetricX XXL,LSRL,DEG3,0.3509323610954181
Gemma 2 9B,wmt19_lten,MetricX XXL,LSRL,DEG3,0.3047694518762488
Gemma 2 9B,wmt19_ruen,MetricX XXL,LSRL,DEG3,0.34783405477458873
EuroLLM 9B,wmt14_csen,MetricX XXL,MSP,RAW,0.12700382512990865
EuroLLM 9B,wmt14_deen,MetricX XXL,MSP,RAW,0.22559679349277145
EuroLLM 9B,wmt14_ruen,MetricX XXL,MSP,RAW,0.29687118150047254
EuroLLM 9B,wmt14_fren,MetricX XXL,MSP,RAW,0.11109451574567548
EuroLLM 9B,wmt19_deen,MetricX XXL,MSP,RAW,0.23033400228495907
EuroLLM 9B,wmt19_fien,MetricX XXL,MSP,RAW,0.040943163845878386
EuroLLM 9B,wmt19_lten,MetricX XXL,MSP,RAW,0.1549509011660918
EuroLLM 9B,wmt19_ruen,MetricX XXL,MSP,RAW,0.28354586045070035
EuroLLM 9B,wmt14_csen,MetricX XXL,MSP,DEG1,0.32359139363080214
EuroLLM 9B,wmt14_deen,MetricX XXL,MSP,DEG1,0.44352328238819305
EuroLLM 9B,wmt14_ruen,MetricX XXL,MSP,DEG1,0.44546590244963163
EuroLLM 9B,wmt14_fren,MetricX XXL,MSP,DEG1,0.26516389283121744
EuroLLM 9B,wmt19_deen,MetricX XXL,MSP,DEG1,0.42759413896403187
EuroLLM 9B,wmt19_fien,MetricX XXL,MSP,DEG1,0.33866520171379744
EuroLLM 9B,wmt19_lten,MetricX XXL,MSP,DEG1,0.31194635390086134
EuroLLM 9B,wmt19_ruen,MetricX XXL,MSP,DEG1,0.37891106931488583
EuroLLM 9B,wmt14_csen,MetricX XXL,MSP,DEG2,0.3052412807975839
EuroLLM 9B,wmt14_deen,MetricX XXL,MSP,DEG2,0.4369402229460636
EuroLLM 9B,wmt14_ruen,MetricX XXL,MSP,DEG2,0.4460035228432368
EuroLLM 9B,wmt14_fren,MetricX XXL,MSP,DEG2,0.2980705618373572
EuroLLM 9B,wmt19_deen,MetricX XXL,MSP,DEG2,0.41550992618126253
EuroLLM 9B,wmt19_fien,MetricX XXL,MSP,DEG2,0.32620894558308716
EuroLLM 9B,wmt19_lten,MetricX XXL,MSP,DEG2,0.2945487448171001
EuroLLM 9B,wmt19_ruen,MetricX XXL,MSP,DEG2,0.380447992632966
EuroLLM 9B,wmt14_csen,MetricX XXL,MSP,DEG3,0.35288605874708157
EuroLLM 9B,wmt14_deen,MetricX XXL,MSP,DEG3,0.4783705753359561
EuroLLM 9B,wmt14_ruen,MetricX XXL,MSP,DEG3,0.4454289266278888
EuroLLM 9B,wmt14_fren,MetricX XXL,MSP,DEG3,0.3306106250403648
EuroLLM 9B,wmt19_deen,MetricX XXL,MSP,DEG3,0.39747729362809997
EuroLLM 9B,wmt19_fien,MetricX XXL,MSP,DEG3,0.3059819497962283
EuroLLM 9B,wmt19_lten,MetricX XXL,MSP,DEG3,0.2987575163274249
EuroLLM 9B,wmt19_ruen,MetricX XXL,MSP,DEG3,0.38427649512591033
EuroLLM 9B,wmt14_csen,MetricX XXL,PPL,RAW,0.5116119290639901
EuroLLM 9B,wmt14_deen,MetricX XXL,PPL,RAW,0.521115545177528
EuroLLM 9B,wmt14_ruen,MetricX XXL,PPL,RAW,0.45357522426002017
EuroLLM 9B,wmt14_fren,MetricX XXL,PPL,RAW,0.4149389881059363
EuroLLM 9B,wmt19_deen,MetricX XXL,PPL,RAW,0.4806841454780032
EuroLLM 9B,wmt19_fien,MetricX XXL,PPL,RAW,0.4446047650798497
EuroLLM 9B,wmt19_lten,MetricX XXL,PPL,RAW,0.402737876232832
EuroLLM 9B,wmt19_ruen,MetricX XXL,PPL,RAW,0.33443638790225294
EuroLLM 9B,wmt14_csen,MetricX XXL,PPL,DEG1,0.5153191335103722
EuroLLM 9B,wmt14_deen,MetricX XXL,PPL,DEG1,0.5289613756477444
EuroLLM 9B,wmt14_ruen,MetricX XXL,PPL,DEG1,0.45752115457536285
EuroLLM 9B,wmt14_fren,MetricX XXL,PPL,DEG1,0.41888923236120224
EuroLLM 9B,wmt19_deen,MetricX XXL,PPL,DEG1,0.48328725170232084
EuroLLM 9B,wmt19_fien,MetricX XXL,PPL,DEG1,0.43571946762928426
EuroLLM 9B,wmt19_lten,MetricX XXL,PPL,DEG1,0.4226427303751648
EuroLLM 9B,wmt19_ruen,MetricX XXL,PPL,DEG1,0.3714311451009224
EuroLLM 9B,wmt14_csen,MetricX XXL,PPL,DEG2,0.5027217430639737
EuroLLM 9B,wmt14_deen,MetricX XXL,PPL,DEG2,0.5299165624465414
EuroLLM 9B,wmt14_ruen,MetricX XXL,PPL,DEG2,0.44499542402592823
EuroLLM 9B,wmt14_fren,MetricX XXL,PPL,DEG2,0.4098739223431253
EuroLLM 9B,wmt19_deen,MetricX XXL,PPL,DEG2,0.48170327105058147
EuroLLM 9B,wmt19_fien,MetricX XXL,PPL,DEG2,0.4290422337498279
EuroLLM 9B,wmt19_lten,MetricX XXL,PPL,DEG2,0.39290901647062393
EuroLLM 9B,wmt19_ruen,MetricX XXL,PPL,DEG2,0.35354311712406095
EuroLLM 9B,wmt14_csen,MetricX XXL,PPL,DEG3,0.5133453890032934
EuroLLM 9B,wmt14_deen,MetricX XXL,PPL,DEG3,0.5286333300931431
EuroLLM 9B,wmt14_ruen,MetricX XXL,PPL,DEG3,0.4692341062595271
EuroLLM 9B,wmt14_fren,MetricX XXL,PPL,DEG3,0.4117138218156462
EuroLLM 9B,wmt19_deen,MetricX XXL,PPL,DEG3,0.48393919706848865
EuroLLM 9B,wmt19_fien,MetricX XXL,PPL,DEG3,0.43053098803984596
EuroLLM 9B,wmt19_lten,MetricX XXL,PPL,DEG3,0.4300627424356288
EuroLLM 9B,wmt19_ruen,MetricX XXL,PPL,DEG3,0.370231604881481
EuroLLM 9B,wmt14_csen,MetricX XXL,MTE,RAW,0.5410824113990269
EuroLLM 9B,wmt14_deen,MetricX XXL,MTE,RAW,0.5369597833860931
EuroLLM 9B,wmt14_ruen,MetricX XXL,MTE,RAW,0.4767313544208524
EuroLLM 9B,wmt14_fren,MetricX XXL,MTE,RAW,0.45554973110456354
EuroLLM 9B,wmt19_deen,MetricX XXL,MTE,RAW,0.49780141610962986
EuroLLM 9B,wmt19_fien,MetricX XXL,MTE,RAW,0.48582598594548343
EuroLLM 9B,wmt19_lten,MetricX XXL,MTE,RAW,0.42394083864825444
EuroLLM 9B,wmt19_ruen,MetricX XXL,MTE,RAW,0.36113171647000497
EuroLLM 9B,wmt14_csen,MetricX XXL,MTE,DEG1,0.5480760625003246
EuroLLM 9B,wmt14_deen,MetricX XXL,MTE,DEG1,0.546957301086226
EuroLLM 9B,wmt14_ruen,MetricX XXL,MTE,DEG1,0.4699018119849414
EuroLLM 9B,wmt14_fren,MetricX XXL,MTE,DEG1,0.4647862764381547
EuroLLM 9B,wmt19_deen,MetricX XXL,MTE,DEG1,0.5124161123265054
EuroLLM 9B,wmt19_fien,MetricX XXL,MTE,DEG1,0.4702348705053137
EuroLLM 9B,wmt19_lten,MetricX XXL,MTE,DEG1,0.4667401094416379
EuroLLM 9B,wmt19_ruen,MetricX XXL,MTE,DEG1,0.4198125846980801
EuroLLM 9B,wmt14_csen,MetricX XXL,MTE,DEG2,0.5349119781020628
EuroLLM 9B,wmt14_deen,MetricX XXL,MTE,DEG2,0.5496551873025902
EuroLLM 9B,wmt14_ruen,MetricX XXL,MTE,DEG2,0.4700364890684853
EuroLLM 9B,wmt14_fren,MetricX XXL,MTE,DEG2,0.45216398174427935
EuroLLM 9B,wmt19_deen,MetricX XXL,MTE,DEG2,0.5149573940277283
EuroLLM 9B,wmt19_fien,MetricX XXL,MTE,DEG2,0.464223703457479
EuroLLM 9B,wmt19_lten,MetricX XXL,MTE,DEG2,0.42992797518809145
EuroLLM 9B,wmt19_ruen,MetricX XXL,MTE,DEG2,0.39834134011887246
EuroLLM 9B,wmt14_csen,MetricX XXL,MTE,DEG3,0.5462906250887224
EuroLLM 9B,wmt14_deen,MetricX XXL,MTE,DEG3,0.5482683653452911
EuroLLM 9B,wmt14_ruen,MetricX XXL,MTE,DEG3,0.49718648344814964
EuroLLM 9B,wmt14_fren,MetricX XXL,MTE,DEG3,0.45721131939658805
EuroLLM 9B,wmt19_deen,MetricX XXL,MTE,DEG3,0.513258711619359
EuroLLM 9B,wmt19_fien,MetricX XXL,MTE,DEG3,0.46817920180680705
EuroLLM 9B,wmt19_lten,MetricX XXL,MTE,DEG3,0.4687297150243788
EuroLLM 9B,wmt19_ruen,MetricX XXL,MTE,DEG3,0.41481130055837845
EuroLLM 9B,wmt14_csen,MetricX XXL,MCSE,RAW,0.19992344902846323
EuroLLM 9B,wmt14_deen,MetricX XXL,MCSE,RAW,0.236851242847467
EuroLLM 9B,wmt14_ruen,MetricX XXL,MCSE,RAW,0.2827704342387031
EuroLLM 9B,wmt14_fren,MetricX XXL,MCSE,RAW,0.16435274546200884
EuroLLM 9B,wmt19_deen,MetricX XXL,MCSE,RAW,0.24741341516879606
EuroLLM 9B,wmt19_fien,MetricX XXL,MCSE,RAW,0.09772297899375514
EuroLLM 9B,wmt19_lten,MetricX XXL,MCSE,RAW,0.25358759684348325
EuroLLM 9B,wmt19_ruen,MetricX XXL,MCSE,RAW,0.27277411459326484
EuroLLM 9B,wmt14_csen,MetricX XXL,MCSE,DEG1,0.41747918627963587
EuroLLM 9B,wmt14_deen,MetricX XXL,MCSE,DEG1,0.4205264689386264
EuroLLM 9B,wmt14_ruen,MetricX XXL,MCSE,DEG1,0.38919370883357
EuroLLM 9B,wmt14_fren,MetricX XXL,MCSE,DEG1,0.35989455369647594
EuroLLM 9B,wmt19_deen,MetricX XXL,MCSE,DEG1,0.40236502259988166
EuroLLM 9B,wmt19_fien,MetricX XXL,MCSE,DEG1,0.35727451447140135
EuroLLM 9B,wmt19_lten,MetricX XXL,MCSE,DEG1,0.3564031310189961
EuroLLM 9B,wmt19_ruen,MetricX XXL,MCSE,DEG1,0.34318367457458654
EuroLLM 9B,wmt14_csen,MetricX XXL,MCSE,DEG2,0.40795001470341086
EuroLLM 9B,wmt14_deen,MetricX XXL,MCSE,DEG2,0.4089078417494467
EuroLLM 9B,wmt14_ruen,MetricX XXL,MCSE,DEG2,0.38859675450389386
EuroLLM 9B,wmt14_fren,MetricX XXL,MCSE,DEG2,0.3621824043869969
EuroLLM 9B,wmt19_deen,MetricX XXL,MCSE,DEG2,0.39668351917995426
EuroLLM 9B,wmt19_fien,MetricX XXL,MCSE,DEG2,0.34119873061171674
EuroLLM 9B,wmt19_lten,MetricX XXL,MCSE,DEG2,0.3356300082371078
EuroLLM 9B,wmt19_ruen,MetricX XXL,MCSE,DEG2,0.3379539526142533
EuroLLM 9B,wmt14_csen,MetricX XXL,MCSE,DEG3,0.40902469020306415
EuroLLM 9B,wmt14_deen,MetricX XXL,MCSE,DEG3,0.41806284956514905
EuroLLM 9B,wmt14_ruen,MetricX XXL,MCSE,DEG3,0.3870914732688586
EuroLLM 9B,wmt14_fren,MetricX XXL,MCSE,DEG3,0.3653530580322421
EuroLLM 9B,wmt19_deen,MetricX XXL,MCSE,DEG3,0.39809775678468323
EuroLLM 9B,wmt19_fien,MetricX XXL,MCSE,DEG3,0.33531730539815885
EuroLLM 9B,wmt19_lten,MetricX XXL,MCSE,DEG3,0.32375082005128114
EuroLLM 9B,wmt19_ruen,MetricX XXL,MCSE,DEG3,0.3433242782522315
EuroLLM 9B,wmt14_csen,MetricX XXL,MCNSE,RAW,0.23039019928848517
EuroLLM 9B,wmt14_deen,MetricX XXL,MCNSE,RAW,0.33004206525243474
EuroLLM 9B,wmt14_ruen,MetricX XXL,MCNSE,RAW,0.29455956145409207
EuroLLM 9B,wmt14_fren,MetricX XXL,MCNSE,RAW,0.22250682012306594
EuroLLM 9B,wmt19_deen,MetricX XXL,MCNSE,RAW,0.27595361353762804
EuroLLM 9B,wmt19_fien,MetricX XXL,MCNSE,RAW,0.32400122351921795
EuroLLM 9B,wmt19_lten,MetricX XXL,MCNSE,RAW,0.26413261855332093
EuroLLM 9B,wmt19_ruen,MetricX XXL,MCNSE,RAW,0.2141300628365373
EuroLLM 9B,wmt14_csen,MetricX XXL,MCNSE,DEG1,0.20952019333773225
EuroLLM 9B,wmt14_deen,MetricX XXL,MCNSE,DEG1,0.32679540019371445
EuroLLM 9B,wmt14_ruen,MetricX XXL,MCNSE,DEG1,0.28276396338384147
EuroLLM 9B,wmt14_fren,MetricX XXL,MCNSE,DEG1,0.21427579409294706
EuroLLM 9B,wmt19_deen,MetricX XXL,MCNSE,DEG1,0.25642018601510436
EuroLLM 9B,wmt19_fien,MetricX XXL,MCNSE,DEG1,0.30441158623066666
EuroLLM 9B,wmt19_lten,MetricX XXL,MCNSE,DEG1,0.2506280378683252
EuroLLM 9B,wmt19_ruen,MetricX XXL,MCNSE,DEG1,0.23373900893459149
EuroLLM 9B,wmt14_csen,MetricX XXL,MCNSE,DEG2,0.1870991959868334
EuroLLM 9B,wmt14_deen,MetricX XXL,MCNSE,DEG2,0.3216696838973709
EuroLLM 9B,wmt14_ruen,MetricX XXL,MCNSE,DEG2,0.25793229584811134
EuroLLM 9B,wmt14_fren,MetricX XXL,MCNSE,DEG2,0.20381420770031347
EuroLLM 9B,wmt19_deen,MetricX XXL,MCNSE,DEG2,0.23999054447677606
EuroLLM 9B,wmt19_fien,MetricX XXL,MCNSE,DEG2,0.28282588335623227
EuroLLM 9B,wmt19_lten,MetricX XXL,MCNSE,DEG2,0.2139995111538079
EuroLLM 9B,wmt19_ruen,MetricX XXL,MCNSE,DEG2,0.21893769693064244
EuroLLM 9B,wmt14_csen,MetricX XXL,MCNSE,DEG3,0.1880302213608871
EuroLLM 9B,wmt14_deen,MetricX XXL,MCNSE,DEG3,0.3186911496589074
EuroLLM 9B,wmt14_ruen,MetricX XXL,MCNSE,DEG3,0.2854208534925571
EuroLLM 9B,wmt14_fren,MetricX XXL,MCNSE,DEG3,0.19028816149189104
EuroLLM 9B,wmt19_deen,MetricX XXL,MCNSE,DEG3,0.23282846042193564
EuroLLM 9B,wmt19_fien,MetricX XXL,MCNSE,DEG3,0.27554456739657895
EuroLLM 9B,wmt19_lten,MetricX XXL,MCNSE,DEG3,0.2401027228958145
EuroLLM 9B,wmt19_ruen,MetricX XXL,MCNSE,DEG3,0.23860433229240469
EuroLLM 9B,wmt14_csen,MetricX XXL,LSRL,RAW,0.289369388576396
EuroLLM 9B,wmt14_deen,MetricX XXL,LSRL,RAW,0.34015992057012756
EuroLLM 9B,wmt14_ruen,MetricX XXL,LSRL,RAW,0.29955553355961073
EuroLLM 9B,wmt14_fren,MetricX XXL,LSRL,RAW,0.27188604643743913
EuroLLM 9B,wmt19_deen,MetricX XXL,LSRL,RAW,0.3057177435877247
EuroLLM 9B,wmt19_fien,MetricX XXL,LSRL,RAW,0.3026860499566757
EuroLLM 9B,wmt19_lten,MetricX XXL,LSRL,RAW,0.30675995994487265
EuroLLM 9B,wmt19_ruen,MetricX XXL,LSRL,RAW,0.196564512003171
EuroLLM 9B,wmt14_csen,MetricX XXL,LSRL,DEG1,0.285749030553591
EuroLLM 9B,wmt14_deen,MetricX XXL,LSRL,DEG1,0.34128710806978274
EuroLLM 9B,wmt14_ruen,MetricX XXL,LSRL,DEG1,0.29863098291033063
EuroLLM 9B,wmt14_fren,MetricX XXL,LSRL,DEG1,0.27193788598062174
EuroLLM 9B,wmt19_deen,MetricX XXL,LSRL,DEG1,0.3042290393940263
EuroLLM 9B,wmt19_fien,MetricX XXL,LSRL,DEG1,0.316364692787877
EuroLLM 9B,wmt19_lten,MetricX XXL,LSRL,DEG1,0.30573081866994817
EuroLLM 9B,wmt19_ruen,MetricX XXL,LSRL,DEG1,0.20738796529305115
EuroLLM 9B,wmt14_csen,MetricX XXL,LSRL,DEG2,0.2573166311016055
EuroLLM 9B,wmt14_deen,MetricX XXL,LSRL,DEG2,0.33715903009928105
EuroLLM 9B,wmt14_ruen,MetricX XXL,LSRL,DEG2,0.2740439598572692
EuroLLM 9B,wmt14_fren,MetricX XXL,LSRL,DEG2,0.27065634786778203
EuroLLM 9B,wmt19_deen,MetricX XXL,LSRL,DEG2,0.30414893055923076
EuroLLM 9B,wmt19_fien,MetricX XXL,LSRL,DEG2,0.31140864475060615
EuroLLM 9B,wmt19_lten,MetricX XXL,LSRL,DEG2,0.2820206053079068
EuroLLM 9B,wmt19_ruen,MetricX XXL,LSRL,DEG2,0.19892138693340886
EuroLLM 9B,wmt14_csen,MetricX XXL,LSRL,DEG3,0.2686895220763257
EuroLLM 9B,wmt14_deen,MetricX XXL,LSRL,DEG3,0.3348483868444394
EuroLLM 9B,wmt14_ruen,MetricX XXL,LSRL,DEG3,0.2884612013855343
EuroLLM 9B,wmt14_fren,MetricX XXL,LSRL,DEG3,0.27043103534755236
EuroLLM 9B,wmt19_deen,MetricX XXL,LSRL,DEG3,0.29833747337697625
EuroLLM 9B,wmt19_fien,MetricX XXL,LSRL,DEG3,0.3095388574590221
EuroLLM 9B,wmt19_lten,MetricX XXL,LSRL,DEG3,0.3083994670326032
EuroLLM 9B,wmt19_ruen,MetricX XXL,LSRL,DEG3,0.2165026883322979
Llama 3.1 8B,wmt14_csen,XComet XXL,MSP,RAW,0.24881439086362953
Llama 3.1 8B,wmt14_deen,XComet XXL,MSP,RAW,0.3486225695882902
Llama 3.1 8B,wmt14_ruen,XComet XXL,MSP,RAW,0.4084574237713829
Llama 3.1 8B,wmt14_fren,XComet XXL,MSP,RAW,0.3289375002866562
Llama 3.1 8B,wmt19_deen,XComet XXL,MSP,RAW,0.30596297366206776
Llama 3.1 8B,wmt19_fien,XComet XXL,MSP,RAW,0.04136663630947334
Llama 3.1 8B,wmt19_lten,XComet XXL,MSP,RAW,0.14660693483774415
Llama 3.1 8B,wmt19_ruen,XComet XXL,MSP,RAW,0.37085607515968877
Llama 3.1 8B,wmt14_csen,XComet XXL,MSP,DEG1,0.32988803079449663
Llama 3.1 8B,wmt14_deen,XComet XXL,MSP,DEG1,0.37992431104299645
Llama 3.1 8B,wmt14_ruen,XComet XXL,MSP,DEG1,0.40787749472322743
Llama 3.1 8B,wmt14_fren,XComet XXL,MSP,DEG1,0.33372752361439384
Llama 3.1 8B,wmt19_deen,XComet XXL,MSP,DEG1,0.37004369041035673
Llama 3.1 8B,wmt19_fien,XComet XXL,MSP,DEG1,0.38910392025582324
Llama 3.1 8B,wmt19_lten,XComet XXL,MSP,DEG1,0.3803940708525509
Llama 3.1 8B,wmt19_ruen,XComet XXL,MSP,DEG1,0.3361685087378898
Llama 3.1 8B,wmt14_csen,XComet XXL,MSP,DEG2,0.3581971332886985
Llama 3.1 8B,wmt14_deen,XComet XXL,MSP,DEG2,0.43142816262056116
Llama 3.1 8B,wmt14_ruen,XComet XXL,MSP,DEG2,0.46869429100346294
Llama 3.1 8B,wmt14_fren,XComet XXL,MSP,DEG2,0.3522884521678743
Llama 3.1 8B,wmt19_deen,XComet XXL,MSP,DEG2,0.3703745885702853
Llama 3.1 8B,wmt19_fien,XComet XXL,MSP,DEG2,0.42145204549662224
Llama 3.1 8B,wmt19_lten,XComet XXL,MSP,DEG2,0.37474211250322215
Llama 3.1 8B,wmt19_ruen,XComet XXL,MSP,DEG2,0.39224474221953975
Llama 3.1 8B,wmt14_csen,XComet XXL,MSP,DEG3,0.3720071684259506
Llama 3.1 8B,wmt14_deen,XComet XXL,MSP,DEG3,0.4339536397023959
Llama 3.1 8B,wmt14_ruen,XComet XXL,MSP,DEG3,0.4599742507741548
Llama 3.1 8B,wmt14_fren,XComet XXL,MSP,DEG3,0.28690905008642004
Llama 3.1 8B,wmt19_deen,XComet XXL,MSP,DEG3,0.38923786436174224
Llama 3.1 8B,wmt19_fien,XComet XXL,MSP,DEG3,0.38559347932728605
Llama 3.1 8B,wmt19_lten,XComet XXL,MSP,DEG3,0.37501269059349807
Llama 3.1 8B,wmt19_ruen,XComet XXL,MSP,DEG3,0.40680428040598277
Llama 3.1 8B,wmt14_csen,XComet XXL,PPL,RAW,0.36186012558440295
Llama 3.1 8B,wmt14_deen,XComet XXL,PPL,RAW,0.3508269922529294
Llama 3.1 8B,wmt14_ruen,XComet XXL,PPL,RAW,0.29653477716981874
Llama 3.1 8B,wmt14_fren,XComet XXL,PPL,RAW,0.2378704840492846
Llama 3.1 8B,wmt19_deen,XComet XXL,PPL,RAW,0.32962352725202065
Llama 3.1 8B,wmt19_fien,XComet XXL,PPL,RAW,0.4885352287505676
Llama 3.1 8B,wmt19_lten,XComet XXL,PPL,RAW,0.4887982912856121
Llama 3.1 8B,wmt19_ruen,XComet XXL,PPL,RAW,0.2720063442000522
Llama 3.1 8B,wmt14_csen,XComet XXL,PPL,DEG1,0.4237438518050282
Llama 3.1 8B,wmt14_deen,XComet XXL,PPL,DEG1,0.42565226414295027
Llama 3.1 8B,wmt14_ruen,XComet XXL,PPL,DEG1,0.47482295346155456
Llama 3.1 8B,wmt14_fren,XComet XXL,PPL,DEG1,0.35020295636355625
