model,dataset,metric,method,prr_score
Llama 3.1 8B,wmt19_fien,XComet XXL,MTE,0.5128089596048697
Llama 3.1 8B,wmt19_fien,XComet XXL,MTE-LINE,0.4898623685131403
Llama 3.1 8B,wmt19_lten,XComet XXL,MTE,0.5322864271815366
Llama 3.1 8B,wmt19_lten,XComet XXL,MTE-LINE,0.5202540078500302
Llama 3.1 8B,wmt19_ruen,XComet XXL,MTE,0.3167900644671561
Llama 3.1 8B,wmt19_ruen,XComet XXL,MTE-LINE,0.5121059666459398
Llama 3.1 8B,wmt14_csen,XComet XXL,MCSE,0.20108755134123496
Llama 3.1 8B,wmt14_csen,XComet XXL,MCSE-LINE,0.26298713707035587
Llama 3.1 8B,wmt14_deen,XComet XXL,MCSE,0.28574150237969403
Llama 3.1 8B,wmt14_deen,XComet XXL,MCSE-LINE,0.27403387924516504
Llama 3.1 8B,wmt14_ruen,XComet XXL,MCSE,0.32795897974258553
Llama 3.1 8B,wmt14_ruen,XComet XXL,MCSE-LINE,0.2751447055339802
Llama 3.1 8B,wmt14_fren,XComet XXL,MCSE,0.2874874508194087
Llama 3.1 8B,wmt14_fren,XComet XXL,MCSE-LINE,0.2389138774382599
Llama 3.1 8B,wmt19_deen,XComet XXL,MCSE,0.2435024942012485
Llama 3.1 8B,wmt19_deen,XComet XXL,MCSE-LINE,0.2896693610634017
Llama 3.1 8B,wmt19_fien,XComet XXL,MCSE,-0.04154462284942883
Llama 3.1 8B,wmt19_fien,XComet XXL,MCSE-LINE,0.2660892651929276
Llama 3.1 8B,wmt19_lten,XComet XXL,MCSE,0.06280368085235934
Llama 3.1 8B,wmt19_lten,XComet XXL,MCSE-LINE,0.27573547660264225
Llama 3.1 8B,wmt19_ruen,XComet XXL,MCSE,0.30524698622647267
Llama 3.1 8B,wmt19_ruen,XComet XXL,MCSE-LINE,0.27823673568486523
Llama 3.1 8B,wmt14_csen,XComet XXL,MCNSE,0.359597256105276
Llama 3.1 8B,wmt14_csen,XComet XXL,MCNSE-LINE,0.3621748602824839
Llama 3.1 8B,wmt14_deen,XComet XXL,MCNSE,0.3446252657383741
Llama 3.1 8B,wmt14_deen,XComet XXL,MCNSE-LINE,0.3528797408597779
Llama 3.1 8B,wmt14_ruen,XComet XXL,MCNSE,0.32046126874468006
Llama 3.1 8B,wmt14_ruen,XComet XXL,MCNSE-LINE,0.3946250142028316
Llama 3.1 8B,wmt14_fren,XComet XXL,MCNSE,0.2718218473301509
Llama 3.1 8B,wmt14_fren,XComet XXL,MCNSE-LINE,0.313152363965649
Llama 3.1 8B,wmt19_deen,XComet XXL,MCNSE,0.33499239859110175
Llama 3.1 8B,wmt19_deen,XComet XXL,MCNSE-LINE,0.3485898809413966
Llama 3.1 8B,wmt19_fien,XComet XXL,MCNSE,0.38383519681332756
Llama 3.1 8B,wmt19_fien,XComet XXL,MCNSE-LINE,0.38312057251794834
Llama 3.1 8B,wmt19_lten,XComet XXL,MCNSE,0.42536487890729313
Llama 3.1 8B,wmt19_lten,XComet XXL,MCNSE-LINE,0.42459964651121107
Llama 3.1 8B,wmt19_ruen,XComet XXL,MCNSE,0.322428976394008
Llama 3.1 8B,wmt19_ruen,XComet XXL,MCNSE-LINE,0.40053161414090854
Llama 3.1 8B,wmt14_csen,XComet XXL,LSRL,0.344976754619058
Llama 3.1 8B,wmt14_csen,XComet XXL,LSRL-LINE,0.32541477015295034
Llama 3.1 8B,wmt14_deen,XComet XXL,LSRL,0.3527741795571511
Llama 3.1 8B,wmt14_deen,XComet XXL,LSRL-LINE,0.3059001732601771
Llama 3.1 8B,wmt14_ruen,XComet XXL,LSRL,0.29487107669279927
Llama 3.1 8B,wmt14_ruen,XComet XXL,LSRL-LINE,0.37775445489510817
Llama 3.1 8B,wmt14_fren,XComet XXL,LSRL,0.2686165687634166
Llama 3.1 8B,wmt14_fren,XComet XXL,LSRL-LINE,0.24178327191093013
Llama 3.1 8B,wmt19_deen,XComet XXL,LSRL,0.29813769464391177
Llama 3.1 8B,wmt19_deen,XComet XXL,LSRL-LINE,0.250828157983166
Llama 3.1 8B,wmt19_fien,XComet XXL,LSRL,0.3038643667486836
Llama 3.1 8B,wmt19_fien,XComet XXL,LSRL-LINE,0.33019380990710545
Llama 3.1 8B,wmt19_lten,XComet XXL,LSRL,0.3249304169482541
Llama 3.1 8B,wmt19_lten,XComet XXL,LSRL-LINE,0.33573516305943907
Llama 3.1 8B,wmt19_ruen,XComet XXL,LSRL,0.2970675247412659
Llama 3.1 8B,wmt19_ruen,XComet XXL,LSRL-LINE,0.3312062593160931
Gemma 2 9B,wmt14_csen,XComet XXL,MSP,0.20305278975781113
Gemma 2 9B,wmt14_csen,XComet XXL,MSP-LINE,0.2934352357561565
Gemma 2 9B,wmt14_deen,XComet XXL,MSP,0.35407566799380386
Gemma 2 9B,wmt14_deen,XComet XXL,MSP-LINE,0.38267130461056337
Gemma 2 9B,wmt14_ruen,XComet XXL,MSP,0.3909444623413618
Gemma 2 9B,wmt14_ruen,XComet XXL,MSP-LINE,0.38220342405731567
Gemma 2 9B,wmt14_fren,XComet XXL,MSP,0.27432676009771245
Gemma 2 9B,wmt14_fren,XComet XXL,MSP-LINE,0.2916149654692624
Gemma 2 9B,wmt19_deen,XComet XXL,MSP,0.3435827600727535
Gemma 2 9B,wmt19_deen,XComet XXL,MSP-LINE,0.37659335100265995
Gemma 2 9B,wmt19_fien,XComet XXL,MSP,0.0011029986748285069
Gemma 2 9B,wmt19_fien,XComet XXL,MSP-LINE,0.2866390015940686
Gemma 2 9B,wmt19_lten,XComet XXL,MSP,0.14712441032203508
Gemma 2 9B,wmt19_lten,XComet XXL,MSP-LINE,0.21676280665477948
Gemma 2 9B,wmt19_ruen,XComet XXL,MSP,0.3494392744003449
Gemma 2 9B,wmt19_ruen,XComet XXL,MSP-LINE,0.3349752974226339
Gemma 2 9B,wmt14_csen,XComet XXL,PPL,0.31761426903116324
Gemma 2 9B,wmt14_csen,XComet XXL,PPL-LINE,0.33021051206369
Gemma 2 9B,wmt14_deen,XComet XXL,PPL,0.33800115250731944
Gemma 2 9B,wmt14_deen,XComet XXL,PPL-LINE,0.36689161417432115
Gemma 2 9B,wmt14_ruen,XComet XXL,PPL,0.2924038713492618
Gemma 2 9B,wmt14_ruen,XComet XXL,PPL-LINE,0.4481441614349548
Gemma 2 9B,wmt14_fren,XComet XXL,PPL,0.25123255215229445
Gemma 2 9B,wmt14_fren,XComet XXL,PPL-LINE,0.30405845379218394
Gemma 2 9B,wmt19_deen,XComet XXL,PPL,0.33055658586122993
Gemma 2 9B,wmt19_deen,XComet XXL,PPL-LINE,0.3467474779638654
Gemma 2 9B,wmt19_fien,XComet XXL,PPL,0.37275884522611663
Gemma 2 9B,wmt19_fien,XComet XXL,PPL-LINE,0.3719753840038887
Gemma 2 9B,wmt19_lten,XComet XXL,PPL,0.2809295613709195
Gemma 2 9B,wmt19_lten,XComet XXL,PPL-LINE,0.2839148315006509
Gemma 2 9B,wmt19_ruen,XComet XXL,PPL,0.27282370990785176
Gemma 2 9B,wmt19_ruen,XComet XXL,PPL-LINE,0.32799052691518427
Gemma 2 9B,wmt14_csen,XComet XXL,MTE,0.3459567441101621
Gemma 2 9B,wmt14_csen,XComet XXL,MTE-LINE,0.3701072421684996
Gemma 2 9B,wmt14_deen,XComet XXL,MTE,0.3266780871269261
Gemma 2 9B,wmt14_deen,XComet XXL,MTE-LINE,0.3828970840599332
Gemma 2 9B,wmt14_ruen,XComet XXL,MTE,0.28594373836647013
Gemma 2 9B,wmt14_ruen,XComet XXL,MTE-LINE,0.4757122991395496
Gemma 2 9B,wmt14_fren,XComet XXL,MTE,0.2547176138694805
Gemma 2 9B,wmt14_fren,XComet XXL,MTE-LINE,0.34251756751415213
Gemma 2 9B,wmt19_deen,XComet XXL,MTE,0.32112895186564333
Gemma 2 9B,wmt19_deen,XComet XXL,MTE-LINE,0.36999993099089334
Gemma 2 9B,wmt19_fien,XComet XXL,MTE,0.4152822021226535
Gemma 2 9B,wmt19_fien,XComet XXL,MTE-LINE,0.4025237261881218
Gemma 2 9B,wmt19_lten,XComet XXL,MTE,0.29375108592832755
Gemma 2 9B,wmt19_lten,XComet XXL,MTE-LINE,0.3097465636453655
Gemma 2 9B,wmt19_ruen,XComet XXL,MTE,0.27127584098233554
Gemma 2 9B,wmt19_ruen,XComet XXL,MTE-LINE,0.37434672167408917
Gemma 2 9B,wmt14_csen,XComet XXL,MCSE,0.1472689925721333
Gemma 2 9B,wmt14_csen,XComet XXL,MCSE-LINE,0.22994375020211424
Gemma 2 9B,wmt14_deen,XComet XXL,MCSE,0.2982886683967705
Gemma 2 9B,wmt14_deen,XComet XXL,MCSE-LINE,0.3234806895432507
Gemma 2 9B,wmt14_ruen,XComet XXL,MCSE,0.3377069743462151
Gemma 2 9B,wmt14_ruen,XComet XXL,MCSE-LINE,0.34077783284551166
Gemma 2 9B,wmt14_fren,XComet XXL,MCSE,0.2642390719774707
Gemma 2 9B,wmt14_fren,XComet XXL,MCSE-LINE,0.25759979295655905
Gemma 2 9B,wmt19_deen,XComet XXL,MCSE,0.2747004497477272
Gemma 2 9B,wmt19_deen,XComet XXL,MCSE-LINE,0.3331950182314506
Gemma 2 9B,wmt19_fien,XComet XXL,MCSE,-0.06962059485859162
Gemma 2 9B,wmt19_fien,XComet XXL,MCSE-LINE,0.19762179277045044
Gemma 2 9B,wmt19_lten,XComet XXL,MCSE,0.08846689585202154
Gemma 2 9B,wmt19_lten,XComet XXL,MCSE-LINE,0.11688329712393233
Gemma 2 9B,wmt19_ruen,XComet XXL,MCSE,0.32321841726971035
Gemma 2 9B,wmt19_ruen,XComet XXL,MCSE-LINE,0.32466481470318387
Gemma 2 9B,wmt14_csen,XComet XXL,MCNSE,0.2778769453675052
Gemma 2 9B,wmt14_csen,XComet XXL,MCNSE-LINE,0.27533604080606855
Gemma 2 9B,wmt14_deen,XComet XXL,MCNSE,0.33620367207037416
Gemma 2 9B,wmt14_deen,XComet XXL,MCNSE-LINE,0.33276239392385304
Gemma 2 9B,wmt14_ruen,XComet XXL,MCNSE,0.3255931763494626
Gemma 2 9B,wmt14_ruen,XComet XXL,MCNSE-LINE,0.4010768150640309
Gemma 2 9B,wmt14_fren,XComet XXL,MCNSE,0.2469436306212345
Gemma 2 9B,wmt14_fren,XComet XXL,MCNSE-LINE,0.27172606257972215
Gemma 2 9B,wmt19_deen,XComet XXL,MCNSE,0.31780321683931717
Gemma 2 9B,wmt19_deen,XComet XXL,MCNSE-LINE,0.3307407559042026
Gemma 2 9B,wmt19_fien,XComet XXL,MCNSE,0.288065084017937
Gemma 2 9B,wmt19_fien,XComet XXL,MCNSE-LINE,0.28900858813815933
Gemma 2 9B,wmt19_lten,XComet XXL,MCNSE,0.18570671994349744
Gemma 2 9B,wmt19_lten,XComet XXL,MCNSE-LINE,0.18554995286183315
Gemma 2 9B,wmt19_ruen,XComet XXL,MCNSE,0.3291158627770186
Gemma 2 9B,wmt19_ruen,XComet XXL,MCNSE-LINE,0.3611335074442209
Gemma 2 9B,wmt14_csen,XComet XXL,LSRL,0.2603731807893013
Gemma 2 9B,wmt14_csen,XComet XXL,LSRL-LINE,0.24530524413962668
Gemma 2 9B,wmt14_deen,XComet XXL,LSRL,0.2998277438684456
Gemma 2 9B,wmt14_deen,XComet XXL,LSRL-LINE,0.28431749340812396
Gemma 2 9B,wmt14_ruen,XComet XXL,LSRL,0.3032637870373473
Gemma 2 9B,wmt14_ruen,XComet XXL,LSRL-LINE,0.38269856040798106
Gemma 2 9B,wmt14_fren,XComet XXL,LSRL,0.2041407784711054
Gemma 2 9B,wmt14_fren,XComet XXL,LSRL-LINE,0.19367474202279517
Gemma 2 9B,wmt19_deen,XComet XXL,LSRL,0.27763536185733556
Gemma 2 9B,wmt19_deen,XComet XXL,LSRL-LINE,0.2618393780986261
Gemma 2 9B,wmt19_fien,XComet XXL,LSRL,0.2916635330866386
Gemma 2 9B,wmt19_fien,XComet XXL,LSRL-LINE,0.3158667598618649
Gemma 2 9B,wmt19_lten,XComet XXL,LSRL,0.186280277420674
Gemma 2 9B,wmt19_lten,XComet XXL,LSRL-LINE,0.1639575179000452
Gemma 2 9B,wmt19_ruen,XComet XXL,LSRL,0.271878408927325
Gemma 2 9B,wmt19_ruen,XComet XXL,LSRL-LINE,0.2871355792412423
EuroLLM 9B,wmt14_csen,XComet XXL,MSP,0.13321774098202674
EuroLLM 9B,wmt14_csen,XComet XXL,MSP-LINE,0.2372819640765912
EuroLLM 9B,wmt14_deen,XComet XXL,MSP,0.3081182631352261
EuroLLM 9B,wmt14_deen,XComet XXL,MSP-LINE,0.38401506584025846
EuroLLM 9B,wmt14_ruen,XComet XXL,MSP,0.3791069271308132
EuroLLM 9B,wmt14_ruen,XComet XXL,MSP-LINE,0.42489471662519
EuroLLM 9B,wmt14_fren,XComet XXL,MSP,0.20532871800014857
EuroLLM 9B,wmt14_fren,XComet XXL,MSP-LINE,0.24758726016984103
EuroLLM 9B,wmt19_deen,XComet XXL,MSP,0.26753748203546546
EuroLLM 9B,wmt19_deen,XComet XXL,MSP-LINE,0.38334187295722433
EuroLLM 9B,wmt19_fien,XComet XXL,MSP,-0.027130416289667482
EuroLLM 9B,wmt19_fien,XComet XXL,MSP-LINE,0.26124777361941426
EuroLLM 9B,wmt19_lten,XComet XXL,MSP,0.05758879657389561
EuroLLM 9B,wmt19_lten,XComet XXL,MSP-LINE,0.18900086225984897
EuroLLM 9B,wmt19_ruen,XComet XXL,MSP,0.3551658094709073
EuroLLM 9B,wmt19_ruen,XComet XXL,MSP-LINE,0.3653914570148071
EuroLLM 9B,wmt14_csen,XComet XXL,PPL,0.39409779777154713
EuroLLM 9B,wmt14_csen,XComet XXL,PPL-LINE,0.4117231880242297
EuroLLM 9B,wmt14_deen,XComet XXL,PPL,0.40499399875758046
EuroLLM 9B,wmt14_deen,XComet XXL,PPL-LINE,0.4347292293270691
EuroLLM 9B,wmt14_ruen,XComet XXL,PPL,0.37530305048974666
EuroLLM 9B,wmt14_ruen,XComet XXL,PPL-LINE,0.4993543671637666
EuroLLM 9B,wmt14_fren,XComet XXL,PPL,0.3277319240924205
EuroLLM 9B,wmt14_fren,XComet XXL,PPL-LINE,0.37327909583827484
EuroLLM 9B,wmt19_deen,XComet XXL,PPL,0.4251876750896089
EuroLLM 9B,wmt19_deen,XComet XXL,PPL-LINE,0.43698903343318923
EuroLLM 9B,wmt19_fien,XComet XXL,PPL,0.39730126954664835
EuroLLM 9B,wmt19_fien,XComet XXL,PPL-LINE,0.38399555805630026
EuroLLM 9B,wmt19_lten,XComet XXL,PPL,0.33093575357351634
EuroLLM 9B,wmt19_lten,XComet XXL,PPL-LINE,0.33631516707582493
EuroLLM 9B,wmt19_ruen,XComet XXL,PPL,0.31387934880078583
EuroLLM 9B,wmt19_ruen,XComet XXL,PPL-LINE,0.3897047436839679
EuroLLM 9B,wmt14_csen,XComet XXL,MTE,0.4337246826060549
EuroLLM 9B,wmt14_csen,XComet XXL,MTE-LINE,0.461600751657049
EuroLLM 9B,wmt14_deen,XComet XXL,MTE,0.41732623167412114
EuroLLM 9B,wmt14_deen,XComet XXL,MTE-LINE,0.4624546265517517
EuroLLM 9B,wmt14_ruen,XComet XXL,MTE,0.3889944159080252
EuroLLM 9B,wmt14_ruen,XComet XXL,MTE-LINE,0.510846538013669
EuroLLM 9B,wmt14_fren,XComet XXL,MTE,0.3454074425549853
EuroLLM 9B,wmt14_fren,XComet XXL,MTE-LINE,0.4172405121276427
EuroLLM 9B,wmt19_deen,XComet XXL,MTE,0.430083762738799
EuroLLM 9B,wmt19_deen,XComet XXL,MTE-LINE,0.47252837979024215
EuroLLM 9B,wmt19_fien,XComet XXL,MTE,0.448391650602249
EuroLLM 9B,wmt19_fien,XComet XXL,MTE-LINE,0.4210825132871022
EuroLLM 9B,wmt19_lten,XComet XXL,MTE,0.38576162370850386
EuroLLM 9B,wmt19_lten,XComet XXL,MTE-LINE,0.38072427624585703
EuroLLM 9B,wmt19_ruen,XComet XXL,MTE,0.3222042364617473
EuroLLM 9B,wmt19_ruen,XComet XXL,MTE-LINE,0.43998505683203293
EuroLLM 9B,wmt14_csen,XComet XXL,MCSE,0.18530660043926425
EuroLLM 9B,wmt14_csen,XComet XXL,MCSE-LINE,0.3074645476138914
EuroLLM 9B,wmt14_deen,XComet XXL,MCSE,0.3053698011866548
EuroLLM 9B,wmt14_deen,XComet XXL,MCSE-LINE,0.3649494081970458
EuroLLM 9B,wmt14_ruen,XComet XXL,MCSE,0.34847931900174856
EuroLLM 9B,wmt14_ruen,XComet XXL,MCSE-LINE,0.38292561971318356
EuroLLM 9B,wmt14_fren,XComet XXL,MCSE,0.26309516256765547
EuroLLM 9B,wmt14_fren,XComet XXL,MCSE-LINE,0.3312275474337681
EuroLLM 9B,wmt19_deen,XComet XXL,MCSE,0.30255049895491887
EuroLLM 9B,wmt19_deen,XComet XXL,MCSE-LINE,0.38448079332300317
EuroLLM 9B,wmt19_fien,XComet XXL,MCSE,-0.00918382514083202
EuroLLM 9B,wmt19_fien,XComet XXL,MCSE-LINE,0.27902900324863134
EuroLLM 9B,wmt19_lten,XComet XXL,MCSE,0.07966278203855363
EuroLLM 9B,wmt19_lten,XComet XXL,MCSE-LINE,0.20045984852211696
EuroLLM 9B,wmt19_ruen,XComet XXL,MCSE,0.33678585708259895
EuroLLM 9B,wmt19_ruen,XComet XXL,MCSE-LINE,0.32217678746504397
EuroLLM 9B,wmt14_csen,XComet XXL,MCNSE,0.19057394356766935
EuroLLM 9B,wmt14_csen,XComet XXL,MCNSE-LINE,0.18309130247687758
EuroLLM 9B,wmt14_deen,XComet XXL,MCNSE,0.27707394738027824
EuroLLM 9B,wmt14_deen,XComet XXL,MCNSE-LINE,0.2809658334113987
EuroLLM 9B,wmt14_ruen,XComet XXL,MCNSE,0.2290597311379456
EuroLLM 9B,wmt14_ruen,XComet XXL,MCNSE-LINE,0.28903403249679177
EuroLLM 9B,wmt14_fren,XComet XXL,MCNSE,0.171044911137391
EuroLLM 9B,wmt14_fren,XComet XXL,MCNSE-LINE,0.1733242923799533
EuroLLM 9B,wmt19_deen,XComet XXL,MCNSE,0.2591948357721238
EuroLLM 9B,wmt19_deen,XComet XXL,MCNSE-LINE,0.2544144352785785
EuroLLM 9B,wmt19_fien,XComet XXL,MCNSE,0.30045605442979145
EuroLLM 9B,wmt19_fien,XComet XXL,MCNSE-LINE,0.27617805720587013
EuroLLM 9B,wmt19_lten,XComet XXL,MCNSE,0.22494288899372542
EuroLLM 9B,wmt19_lten,XComet XXL,MCNSE-LINE,0.19289214885237266
EuroLLM 9B,wmt19_ruen,XComet XXL,MCNSE,0.21204330485697737
EuroLLM 9B,wmt19_ruen,XComet XXL,MCNSE-LINE,0.2581751744912333
EuroLLM 9B,wmt14_csen,XComet XXL,LSRL,0.23011901685344402
EuroLLM 9B,wmt14_csen,XComet XXL,LSRL-LINE,0.22910890345747367
EuroLLM 9B,wmt14_deen,XComet XXL,LSRL,0.28220870271019155
EuroLLM 9B,wmt14_deen,XComet XXL,LSRL-LINE,0.2802183453336631
EuroLLM 9B,wmt14_ruen,XComet XXL,LSRL,0.21782940809979828
EuroLLM 9B,wmt14_ruen,XComet XXL,LSRL-LINE,0.25802118979672284
EuroLLM 9B,wmt14_fren,XComet XXL,LSRL,0.22894775933975434
EuroLLM 9B,wmt14_fren,XComet XXL,LSRL-LINE,0.22894404090975784
EuroLLM 9B,wmt19_deen,XComet XXL,LSRL,0.28345379491633965
EuroLLM 9B,wmt19_deen,XComet XXL,LSRL-LINE,0.2839005029544851
EuroLLM 9B,wmt19_fien,XComet XXL,LSRL,0.2418297291577639
EuroLLM 9B,wmt19_fien,XComet XXL,LSRL-LINE,0.26153568393056864
EuroLLM 9B,wmt19_lten,XComet XXL,LSRL,0.1809887016738711
EuroLLM 9B,wmt19_lten,XComet XXL,LSRL-LINE,0.18469166099804046
EuroLLM 9B,wmt19_ruen,XComet XXL,LSRL,0.18381014807763998
EuroLLM 9B,wmt19_ruen,XComet XXL,LSRL-LINE,0.2175335467687962
Llama 3.1 8B,wmt14_csen,Comet WMT22,MSP,0.4244433995724548
Llama 3.1 8B,wmt14_csen,Comet WMT22,MSP-LINE,0.4687667568744989
Llama 3.1 8B,wmt14_deen,Comet WMT22,MSP,0.3943381895702435
Llama 3.1 8B,wmt14_deen,Comet WMT22,MSP-LINE,0.4874111776902879
Llama 3.1 8B,wmt14_ruen,Comet WMT22,MSP,0.45269833324634934
Llama 3.1 8B,wmt14_ruen,Comet WMT22,MSP-LINE,0.48079256513743174
Llama 3.1 8B,wmt14_fren,Comet WMT22,MSP,0.3494917395284792
Llama 3.1 8B,wmt14_fren,Comet WMT22,MSP-LINE,0.39803671297015736
Llama 3.1 8B,wmt19_deen,Comet WMT22,MSP,0.4579067225503741
Llama 3.1 8B,wmt19_deen,Comet WMT22,MSP-LINE,0.5105719888205362
Llama 3.1 8B,wmt19_fien,Comet WMT22,MSP,0.1863485813804621
Llama 3.1 8B,wmt19_fien,Comet WMT22,MSP-LINE,0.46713456764930067
Llama 3.1 8B,wmt19_lten,Comet WMT22,MSP,0.28781632548855557
Llama 3.1 8B,wmt19_lten,Comet WMT22,MSP-LINE,0.4729009202663231
Llama 3.1 8B,wmt19_ruen,Comet WMT22,MSP,0.4314846239557551
Llama 3.1 8B,wmt19_ruen,Comet WMT22,MSP-LINE,0.4137886226768542
Llama 3.1 8B,wmt14_csen,Comet WMT22,PPL,0.4172419203330615
Llama 3.1 8B,wmt14_csen,Comet WMT22,PPL-LINE,0.5209564341935427
Llama 3.1 8B,wmt14_deen,Comet WMT22,PPL,0.45542054956936034
Llama 3.1 8B,wmt14_deen,Comet WMT22,PPL-LINE,0.5147907318258307
Llama 3.1 8B,wmt14_ruen,Comet WMT22,PPL,0.3709834106289464
Llama 3.1 8B,wmt14_ruen,Comet WMT22,PPL-LINE,0.5263241866156294
Llama 3.1 8B,wmt14_fren,Comet WMT22,PPL,0.3138641956213274
Llama 3.1 8B,wmt14_fren,Comet WMT22,PPL-LINE,0.4124305070490263
Llama 3.1 8B,wmt19_deen,Comet WMT22,PPL,0.4069100472226224
Llama 3.1 8B,wmt19_deen,Comet WMT22,PPL-LINE,0.4587300734891074
Llama 3.1 8B,wmt19_fien,Comet WMT22,PPL,0.5158845940928607
Llama 3.1 8B,wmt19_fien,Comet WMT22,PPL-LINE,0.520739074716117
Llama 3.1 8B,wmt19_lten,Comet WMT22,PPL,0.47471389456831276
Llama 3.1 8B,wmt19_lten,Comet WMT22,PPL-LINE,0.49475666635525145
Llama 3.1 8B,wmt19_ruen,Comet WMT22,PPL,0.315136494187825
Llama 3.1 8B,wmt19_ruen,Comet WMT22,PPL-LINE,0.46435484031673896
Llama 3.1 8B,wmt14_csen,Comet WMT22,MTE,0.44451740095477477
Llama 3.1 8B,wmt14_csen,Comet WMT22,MTE-LINE,0.5760739189296077
Llama 3.1 8B,wmt14_deen,Comet WMT22,MTE,0.4785245431008445
Llama 3.1 8B,wmt14_deen,Comet WMT22,MTE-LINE,0.5626331608383074
Llama 3.1 8B,wmt14_ruen,Comet WMT22,MTE,0.40644893614942645
Llama 3.1 8B,wmt14_ruen,Comet WMT22,MTE-LINE,0.5886034204650681
Llama 3.1 8B,wmt14_fren,Comet WMT22,MTE,0.3737622938890502
Llama 3.1 8B,wmt14_fren,Comet WMT22,MTE-LINE,0.4837290509589576
Llama 3.1 8B,wmt19_deen,Comet WMT22,MTE,0.4179266190225899
Llama 3.1 8B,wmt19_deen,Comet WMT22,MTE-LINE,0.545678281680194
Llama 3.1 8B,wmt19_fien,Comet WMT22,MTE,0.5396894593140971
Llama 3.1 8B,wmt19_fien,Comet WMT22,MTE-LINE,0.560740943932025
Llama 3.1 8B,wmt19_lten,Comet WMT22,MTE,0.5183372862935993
Llama 3.1 8B,wmt19_lten,Comet WMT22,MTE-LINE,0.5553486538768893
Llama 3.1 8B,wmt19_ruen,Comet WMT22,MTE,0.3306383238915915
Llama 3.1 8B,wmt19_ruen,Comet WMT22,MTE-LINE,0.5258244227906861
Llama 3.1 8B,wmt14_csen,Comet WMT22,MCSE,0.3646169630793558
Llama 3.1 8B,wmt14_csen,Comet WMT22,MCSE-LINE,0.3759817364788187
Llama 3.1 8B,wmt14_deen,Comet WMT22,MCSE,0.3221173803270793
Llama 3.1 8B,wmt14_deen,Comet WMT22,MCSE-LINE,0.3560863518237088
Llama 3.1 8B,wmt14_ruen,Comet WMT22,MCSE,0.3471265419827787
Llama 3.1 8B,wmt14_ruen,Comet WMT22,MCSE-LINE,0.32786513663235045
Llama 3.1 8B,wmt14_fren,Comet WMT22,MCSE,0.29565874871089726
Llama 3.1 8B,wmt14_fren,Comet WMT22,MCSE-LINE,0.2795818681080751
Llama 3.1 8B,wmt19_deen,Comet WMT22,MCSE,0.3606553815080882
Llama 3.1 8B,wmt19_deen,Comet WMT22,MCSE-LINE,0.3849707409940348
Llama 3.1 8B,wmt19_fien,Comet WMT22,MCSE,0.08462610281475262
Llama 3.1 8B,wmt19_fien,Comet WMT22,MCSE-LINE,0.3182376194756673
Llama 3.1 8B,wmt19_lten,Comet WMT22,MCSE,0.20081155535731213
Llama 3.1 8B,wmt19_lten,Comet WMT22,MCSE-LINE,0.3553952239048909
Llama 3.1 8B,wmt19_ruen,Comet WMT22,MCSE,0.3592330391307836
Llama 3.1 8B,wmt19_ruen,Comet WMT22,MCSE-LINE,0.3199067405659707
Llama 3.1 8B,wmt14_csen,Comet WMT22,MCNSE,0.4810979688617009
Llama 3.1 8B,wmt14_csen,Comet WMT22,MCNSE-LINE,0.4856360013824867
Llama 3.1 8B,wmt14_deen,Comet WMT22,MCNSE,0.4353442957197908
Llama 3.1 8B,wmt14_deen,Comet WMT22,MCNSE-LINE,0.4412620479574951
Llama 3.1 8B,wmt14_ruen,Comet WMT22,MCNSE,0.40050846268689416
Llama 3.1 8B,wmt14_ruen,Comet WMT22,MCNSE-LINE,0.47338399578612544
Llama 3.1 8B,wmt14_fren,Comet WMT22,MCNSE,0.35789758092049007
Llama 3.1 8B,wmt14_fren,Comet WMT22,MCNSE-LINE,0.39467727863319674
Llama 3.1 8B,wmt19_deen,Comet WMT22,MCNSE,0.4318546013615363
Llama 3.1 8B,wmt19_deen,Comet WMT22,MCNSE-LINE,0.4496584694759942
Llama 3.1 8B,wmt19_fien,Comet WMT22,MCNSE,0.4552029681057542
Llama 3.1 8B,wmt19_fien,Comet WMT22,MCNSE-LINE,0.45659525923824146
Llama 3.1 8B,wmt19_lten,Comet WMT22,MCNSE,0.4833246638200708
Llama 3.1 8B,wmt19_lten,Comet WMT22,MCNSE-LINE,0.4847962902932958
Llama 3.1 8B,wmt19_ruen,Comet WMT22,MCNSE,0.35287193017264856
Llama 3.1 8B,wmt19_ruen,Comet WMT22,MCNSE-LINE,0.4385902324387661
Llama 3.1 8B,wmt14_csen,Comet WMT22,LSRL,0.44809572362229333
Llama 3.1 8B,wmt14_csen,Comet WMT22,LSRL-LINE,0.41186073764483566
Llama 3.1 8B,wmt14_deen,Comet WMT22,LSRL,0.443841730665517
Llama 3.1 8B,wmt14_deen,Comet WMT22,LSRL-LINE,0.40799319234694187
Llama 3.1 8B,wmt14_ruen,Comet WMT22,LSRL,0.38173949024506265
Llama 3.1 8B,wmt14_ruen,Comet WMT22,LSRL-LINE,0.4358050831675306
Llama 3.1 8B,wmt14_fren,Comet WMT22,LSRL,0.34554389674186786
Llama 3.1 8B,wmt14_fren,Comet WMT22,LSRL-LINE,0.3243248408793365
Llama 3.1 8B,wmt19_deen,Comet WMT22,LSRL,0.45991667060211977
