model,dataset,metric,method,prr_score
Llama 3.1 8B,wmt14_csen,MetricX XXL,MCNSE-LINE,0.42483218356295216
Llama 3.1 8B,wmt14_deen,MetricX XXL,MCNSE,0.3779153531416084
Llama 3.1 8B,wmt14_deen,MetricX XXL,MCNSE-LINE,0.3796963924127393
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MCNSE,0.4044478748838261
Llama 3.1 8B,wmt14_ruen,MetricX XXL,MCNSE-LINE,0.4323645692338883
Llama 3.1 8B,wmt14_fren,MetricX XXL,MCNSE,0.3239985382898059
Llama 3.1 8B,wmt14_fren,MetricX XXL,MCNSE-LINE,0.3421394690891758
Llama 3.1 8B,wmt19_deen,MetricX XXL,MCNSE,0.3831082127621986
Llama 3.1 8B,wmt19_deen,MetricX XXL,MCNSE-LINE,0.38503571066275705
Llama 3.1 8B,wmt19_fien,MetricX XXL,MCNSE,0.39293692534839414
Llama 3.1 8B,wmt19_fien,MetricX XXL,MCNSE-LINE,0.3929999843800981
Llama 3.1 8B,wmt19_lten,MetricX XXL,MCNSE,0.43792700809119445
Llama 3.1 8B,wmt19_lten,MetricX XXL,MCNSE-LINE,0.4378060184057857
Llama 3.1 8B,wmt19_ruen,MetricX XXL,MCNSE,0.3236881315416644
Llama 3.1 8B,wmt19_ruen,MetricX XXL,MCNSE-LINE,0.3606491751660464
Llama 3.1 8B,wmt14_csen,MetricX XXL,LSRL,0.3945348402223537
Llama 3.1 8B,wmt14_csen,MetricX XXL,LSRL-LINE,0.3796513034046092
Llama 3.1 8B,wmt14_deen,MetricX XXL,LSRL,0.3544234494071448
Llama 3.1 8B,wmt14_deen,MetricX XXL,LSRL-LINE,0.3513979231759023
Llama 3.1 8B,wmt14_ruen,MetricX XXL,LSRL,0.36583490918108896
Llama 3.1 8B,wmt14_ruen,MetricX XXL,LSRL-LINE,0.37608746545182586
Llama 3.1 8B,wmt14_fren,MetricX XXL,LSRL,0.3001731555789324
Llama 3.1 8B,wmt14_fren,MetricX XXL,LSRL-LINE,0.2945810464630152
Llama 3.1 8B,wmt19_deen,MetricX XXL,LSRL,0.3562436565756899
